Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
Mostly cloudy (7/8),2022-02-16,59,-10.7,66.16575626929145,29.152157226680888,3.9
Cloudy (8/8),2022-02-17,59,-9.7,66.16575626929145,29.152157226680888,0.5666666666666667
Cloudy (8/8),2022-02-18,61,-5.6,66.16575626929145,29.152157226680888,8.366666666666667
Cloudy (8/8),2022-02-19,65,-5.6,66.16575626929145,29.152157226680888,9.466666666666669
Cloudy (8/8),2022-02-20,67,-8.1,66.16575626929145,29.152157226680888,29.566666666666663
Cloudy (8/8),2022-02-21,72,-8.8,66.16575626929145,29.152157226680888,1.5
Cloudy (8/8),2022-02-22,70,-11.7,66.16575626929145,29.152157226680888,27.73333333333333
Mostly cloudy (6/8),2022-02-23,68,-12.8,66.16575626929145,29.152157226680888,31.266666666666666
Cloudy (8/8),2022-02-24,68,-6.5,66.16575626929145,29.152157226680888,0.7333333333333334
Mostly cloudy (7/8),2022-02-25,71,-3.1,66.16575626929145,29.152157226680888,25.8
Cloudy (8/8),2022-02-26,70,-8.2,66.16575626929145,29.152157226680888,252.83333333333331
Cloudy (8/8),2022-02-27,69,-5.7,66.16575626929145,29.152157226680888,166.49999999999997
Clear (0/8),2022-02-28,68,-2.1,66.16575626929145,29.152157226680888,208.56666666666663
Mostly cloudy (6/8),2022-03-01,68,-3.8,66.16575626929145,29.152157226680888,190.5
Clear (1/8),2022-03-02,67,-3.3,66.16575626929145,29.152157226680888,72.86666666666666
Cloudy (8/8),2022-03-03,66,-5.8,66.16575626929145,29.152157226680888,240.8
Clear (0/8),2022-03-04,65,-9.3,66.16575626929145,29.152157226680888,270.3333333333333
Mostly cloudy (6/8),2022-03-05,65,-8.3,66.16575626929145,29.152157226680888,163.0
Cloudy (8/8),2022-03-06,69,-8.8,66.16575626929145,29.152157226680888,171.33333333333334
Cloudy (8/8),2022-03-07,68,-14,66.16575626929145,29.152157226680888,30.46666666666667
Cloudy (8/8),2022-03-08,73,-12.1,66.16575626929145,29.152157226680888,1.3666666666666665
Cloudy (8/8),2022-03-09,69,-10.8,66.16575626929145,29.152157226680888,43.66666666666666
Cloudy (8/8),2022-03-10,71,-5.8,66.16575626929145,29.152157226680888,50.03333333333333
Mostly cloudy (7/8),2022-03-11,70,-2.6,66.16575626929145,29.152157226680888,53.833333333333336
Mostly clear (3/8),2022-03-12,68,-0.6,66.16575626929145,29.152157226680888,286.6666666666667
Cloudiness cannot be determined (9/8),2022-03-13,67,1.9,66.16575626929145,29.152157226680888,213.96666666666667
Clear (0/8),2022-03-14,67,-1.1,66.16575626929145,29.152157226680888,256.0
Clear (0/8),2022-03-15,66,-1.5,66.16575626929145,29.152157226680888,233.7
Clear (0/8),2022-03-16,66,-0.4,66.16575626929145,29.152157226680888,305.7333333333333
Clear (0/8),2022-03-17,65,0.3,66.16575626929145,29.152157226680888,307.0
Clear (0/8),2022-03-18,65,-1.8,66.16575626929145,29.152157226680888,86.39999999999999
Mostly clear (2/8),2022-03-19,64,-1,66.16575626929145,29.152157226680888,182.2
Clear (0/8),2022-03-20,62,3.2,66.16575626929145,29.152157226680888,260.1666666666667
Clear (0/8),2022-03-21,60,2.1,66.16575626929145,29.152157226680888,336.43333333333334
Clear (0/8),2022-03-22,59,-0.5,66.16575626929145,29.152157226680888,281.83333333333337
Clear (0/8),2022-03-23,59,-0.8,66.16575626929145,29.152157226680888,106.2
Mostly cloudy (7/8),2022-03-24,59,-3.4,66.16575626929145,29.152157226680888,161.1
Clear (0/8),2022-03-25,59,-7.1,66.16575626929145,29.152157226680888,13.733333333333334
Cloudy (8/8),2022-03-26,70,-8.7,66.16575626929145,29.152157226680888,59.56666666666666
Clear (0/8),2022-03-27,69,-10.6,66.16575626929145,29.152157226680888,194.6
Partly cloudy (4/8),2022-03-28,67,-10.2,66.16575626929145,29.152157226680888,170.06666666666666
Clear (0/8),2022-03-29,67,-8.9,66.16575626929145,29.152157226680888,135.79999999999998
Cloudy (8/8),2022-03-30,65,-7.4,66.16575626929145,29.152157226680888,79.66666666666667
Mostly clear (2/8),2022-03-31,66,-8,66.16575626929145,29.152157226680888,182.7333333333333
Clear (0/8),2022-04-01,66,-7.9,66.16575626929145,29.152157226680888,174.63333333333333
Cloudy (8/8),2022-04-02,65,-6.6,66.16575626929145,29.152157226680888,217.4333333333333
Mostly cloudy (7/8),2022-04-03,64,-7.1,66.16575626929145,29.152157226680888,198.76666666666665
Mostly clear (2/8),2022-04-04,64,-7.5,66.16575626929145,29.152157226680888,33.4
Cloudy (8/8),2022-04-05,71,-4,66.16575626929145,29.152157226680888,0.5
Cloudy (8/8),2022-04-06,74,-3.8,66.16575626929145,29.152157226680888,72.7
Mostly clear (3/8),2022-04-07,69,-5.9,66.16575626929145,29.152157226680888,70.3
Clear (0/8),2022-04-08,74,-4.4,66.16575626929145,29.152157226680888,72.82083333333333
Cloudy (8/8),2022-04-09,76,-1.2,66.16575626929145,29.152157226680888,98.18333333333334
Mostly clear (3/8),2022-04-10,75,-2.4,66.16575626929145,29.152157226680888,108.87916666666666
Partly cloudy (4/8),2022-04-11,75,-2.3,66.16575626929145,29.152157226680888,204.79259259259263
Cloudy (8/8),2022-04-12,76,-1.9,66.16575626929145,29.152157226680888,183.74444444444444
Cloudy (8/8),2022-04-13,73,0,66.16575626929145,29.152157226680888,232.4416666666667
Cloudy (8/8),2022-04-14,72,-1,66.16575626929145,29.152157226680888,133.92380952380952
Cloudy (8/8),2022-04-15,70,-1.3,66.16575626929145,29.152157226680888,219.3111111111111
Mostly cloudy (7/8),2022-04-16,70,-0.4,66.16575626929145,29.152157226680888,180.33888888888887
Partly cloudy (5/8),2022-04-17,69,2.1,66.16575626929145,29.152157226680888,188.19583333333333
Cloudy (8/8),2022-04-18,63,5.7,66.16575626929145,29.152157226680888,185.53333333333333
Partly cloudy (4/8),2022-04-19,60,6.3,66.16575626929145,29.152157226680888,381.937037037037
Clear (0/8),2022-04-20,53,6.8,66.16575626929145,29.152157226680888,315.95185185185187
Clear (0/8),2022-04-21,49,7.7,66.16575626929145,29.152157226680888,438.8333333333333
Mostly cloudy (7/8),2022-04-22,43,2.1,66.16575626929145,29.152157226680888,339.6
Cloudy (8/8),2022-04-23,39,0.5,66.16575626929145,29.152157226680888,111.16666666666669
Cloudy (8/8),2022-04-24,37,2.2,66.16575626929145,29.152157226680888,297.0333333333333
Mostly cloudy (7/8),2022-04-25,33,1.5,66.16575626929145,29.152157226680888,215.83333333333331
Cloudy (8/8),2022-04-26,31,-4.1,66.16575626929145,29.152157226680888,281.7
Mostly cloudy (7/8),2022-04-27,33,-6.5,66.16575626929145,29.152157226680888,265.7
Clear (0/8),2022-04-28,32,-4.7,66.16575626929145,29.152157226680888,149.96666666666667
Clear (0/8),2022-04-29,33,-4.1,66.16575626929145,29.152157226680888,274.8333333333333
Clear (0/8),2022-04-30,32,-2.7,66.16575626929145,29.152157226680888,169.96666666666667
Cloudy (8/8),2022-05-01,32,-1.3,66.16575626929145,29.152157226680888,207.4333333333333
Cloudy (8/8),2022-05-02,31,-1.3,66.16575626929145,29.152157226680888,53.13333333333333
Clear (0/8),2022-05-03,31,-3.5,66.16575626929145,29.152157226680888,96.66666666666669
Mostly cloudy (7/8),2022-05-04,31,-3.2,66.16575626929145,29.152157226680888,295.1
Clear (0/8),2022-05-05,30,-0.1,66.16575626929145,29.152157226680888,131.73333333333335
Cloudy (8/8),2022-05-06,28,3.3,66.16575626929145,29.152157226680888,334.40000000000003
Mostly cloudy (7/8),2022-05-07,22,2.7,66.16575626929145,29.152157226680888,116.3
Mostly cloudy (7/8),2022-05-08,20,0.7,66.16575626929145,29.152157226680888,321.46666666666664
Cloudy (8/8),2022-05-09,17,1.8,66.16575626929145,29.152157226680888,178.5666666666667
Mostly cloudy (7/8),2022-05-10,14,6.4,66.16575626929145,29.152157226680888,181.1
Cloudy (8/8),2022-05-11,-1,4.2,66.16575626929145,29.152157226680888,49.03333333333333
Cloudy (8/8),2022-05-12,-1,4.3,66.16575626929145,29.152157226680888,113.96666666666664
Mostly cloudy (6/8),2022-05-13,-1,7.7,66.16575626929145,29.152157226680888,356.3333333333333
Mostly clear (3/8),2022-05-14,-1,8.2,66.16575626929145,29.152157226680888,188.7
Clear (0/8),2022-05-15,-1,6.9,66.16575626929145,29.152157226680888,265.56666666666666
Clear (1/8),2022-05-16,-1,3.1,66.16575626929145,29.152157226680888,151.46666666666667
Cloudy (8/8),2022-05-17,-1,-0.5,66.16575626929145,29.152157226680888,53.1
Cloudy (8/8),2022-05-18,-1,0,66.16575626929145,29.152157226680888,306.3666666666668
Cloudy (8/8),2022-05-19,-1,-0.1,66.16575626929145,29.152157226680888,299.5
Clear (0/8),2022-05-20,-1,4.5,66.16575626929145,29.152157226680888,176.1
Cloudy (8/8),2022-05-21,-1,5.7,66.16575626929145,29.152157226680888,316.8666666666667
Cloudy (8/8),2022-05-22,-1,2.8,66.16575626929145,29.152157226680888,340.6
Cloudy (8/8),2022-05-23,-1,5.6,66.16575626929145,29.152157226680888,374.26666666666665
Clear (0/8),2022-05-24,-1,9.6,66.16575626929145,29.152157226680888,509.3666666666666
Clear (0/8),2022-05-25,-1,10.3,66.16575626929145,29.152157226680888,322.1
Clear (0/8),2022-05-26,-1,8.5,66.16575626929145,29.152157226680888,150.46666666666667
Mostly cloudy (7/8),2022-05-27,-1,3.7,66.16575626929145,29.152157226680888,1.4666666666666668
Cloudy (8/8),2022-05-28,-1,7.1,66.16575626929145,29.152157226680888,16.5
Clear (0/8),2022-05-29,-1,9.3,66.16575626929145,29.152157226680888,158.13333333333335
Mostly cloudy (6/8),2022-05-30,-1,9.7,66.16575626929145,29.152157226680888,424.1
Cloudy (8/8),2022-05-31,-1,11.9,66.16575626929145,29.152157226680888,99.16666666666669
Mostly cloudy (7/8),2022-06-01,-1,9.6,66.16575626929145,29.152157226680888,183.16666666666663
Mostly clear (2/8),2022-06-02,-1,12.3,66.16575626929145,29.152157226680888,81.46666666666667
Partly cloudy (5/8),2022-06-03,-1,10.6,66.16575626929145,29.152157226680888,211.76666666666665
Cloudy (8/8),2022-06-04,-,10.7,66.16575626929145,29.152157226680888,157.93333333333337
Mostly clear (2/8),2022-06-05,-1,9.5,66.16575626929145,29.152157226680888,170.0
Clear (0/8),2022-06-06,-1,8.3,66.16575626929145,29.152157226680888,493.2333333333333
