"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Helsinki Kumpula","2011","10","25","03:00","-1"
"Helsinki Kumpula","2011","10","26","03:00","-1"
"Helsinki Kumpula","2011","10","27","03:00","-1"
"Helsinki Kumpula","2011","10","28","03:00","-1"
"Helsinki Kumpula","2011","10","29","03:00","-1"
"Helsinki Kumpula","2011","10","30","03:00","-1"
"Helsinki Kumpula","2011","10","31","02:00","-1"
"Helsinki Kumpula","2011","11","1","02:00","-1"
"Helsinki Kumpula","2011","11","2","02:00","-1"
"Helsinki Kumpula","2011","11","3","02:00","-1"
"Helsinki Kumpula","2011","11","4","02:00","-1"
"Helsinki Kumpula","2011","11","5","02:00","-1"
"Helsinki Kumpula","2011","11","6","02:00","-1"
"Helsinki Kumpula","2011","11","7","02:00","-1"
"Helsinki Kumpula","2011","11","8","02:00","-1"
"Helsinki Kumpula","2011","11","9","02:00","-1"
"Helsinki Kumpula","2011","11","10","02:00","-1"
"Helsinki Kumpula","2011","11","11","02:00","-1"
"Helsinki Kumpula","2011","11","12","02:00","-1"
"Helsinki Kumpula","2011","11","13","02:00","-1"
"Helsinki Kumpula","2011","11","14","02:00","-1"
"Helsinki Kumpula","2011","11","15","02:00","-1"
"Helsinki Kumpula","2011","11","16","02:00","-1"
"Helsinki Kumpula","2011","11","17","02:00","-1"
"Helsinki Kumpula","2011","11","18","02:00","-1"
"Helsinki Kumpula","2011","11","19","02:00","-1"
"Helsinki Kumpula","2011","11","20","02:00","-1"
"Helsinki Kumpula","2011","11","21","02:00","-1"
"Helsinki Kumpula","2011","11","22","02:00","-1"
"Helsinki Kumpula","2011","11","23","02:00","-1"
"Helsinki Kumpula","2011","11","24","02:00","-1"
"Helsinki Kumpula","2011","11","25","02:00","-1"
"Helsinki Kumpula","2011","11","26","02:00","-1"
"Helsinki Kumpula","2011","11","27","02:00","-1"
"Helsinki Kumpula","2011","11","28","02:00","-1"
"Helsinki Kumpula","2011","11","29","02:00","-1"
"Helsinki Kumpula","2011","11","30","02:00","-1"
"Helsinki Kumpula","2011","12","1","02:00","-1"
"Helsinki Kumpula","2011","12","2","02:00","-1"
"Helsinki Kumpula","2011","12","3","02:00","-1"
"Helsinki Kumpula","2011","12","4","02:00","-1"
"Helsinki Kumpula","2011","12","5","02:00","-1"
"Helsinki Kumpula","2011","12","6","02:00","0"
"Helsinki Kumpula","2011","12","7","02:00","0"
"Helsinki Kumpula","2011","12","8","02:00","-1"
"Helsinki Kumpula","2011","12","9","02:00","0"
"Helsinki Kumpula","2011","12","10","02:00","-1"
"Helsinki Kumpula","2011","12","11","02:00","-1"
"Helsinki Kumpula","2011","12","12","02:00","-1"
"Helsinki Kumpula","2011","12","13","02:00","-1"
"Helsinki Kumpula","2011","12","14","02:00","-1"
"Helsinki Kumpula","2011","12","15","02:00","-1"
"Helsinki Kumpula","2011","12","16","02:00","-1"
"Helsinki Kumpula","2011","12","17","02:00","-1"
"Helsinki Kumpula","2011","12","18","02:00","-1"
"Helsinki Kumpula","2011","12","19","02:00","-1"
"Helsinki Kumpula","2011","12","20","02:00","-1"
"Helsinki Kumpula","2011","12","21","02:00","-1"
"Helsinki Kumpula","2011","12","22","02:00","-1"
"Helsinki Kumpula","2011","12","23","02:00","-1"
"Helsinki Kumpula","2011","12","24","02:00","-1"
"Helsinki Kumpula","2011","12","25","02:00","-1"
"Helsinki Kumpula","2011","12","26","02:00","-1"
"Helsinki Kumpula","2011","12","27","02:00","-1"
"Helsinki Kumpula","2011","12","28","02:00","-1"
"Helsinki Kumpula","2011","12","29","02:00","-1"
"Helsinki Kumpula","2011","12","30","02:00","-1"
"Helsinki Kumpula","2011","12","31","02:00","-1"
"Helsinki Kumpula","2012","1","1","02:00","-1"
"Helsinki Kumpula","2012","1","2","02:00","-1"
"Helsinki Kumpula","2012","1","3","02:00","6"
"Helsinki Kumpula","2012","1","4","02:00","6"
"Helsinki Kumpula","2012","1","5","02:00","0"
"Helsinki Kumpula","2012","1","6","02:00","-1"
"Helsinki Kumpula","2012","1","7","02:00","4"
"Helsinki Kumpula","2012","1","8","02:00","3"
"Helsinki Kumpula","2012","1","9","02:00","10"
"Helsinki Kumpula","2012","1","10","02:00","10"
"Helsinki Kumpula","2012","1","11","02:00","8"
"Helsinki Kumpula","2012","1","12","02:00","5"
"Helsinki Kumpula","2012","1","13","02:00","2"
"Helsinki Kumpula","2012","1","14","02:00","7"
"Helsinki Kumpula","2012","1","15","02:00","6"
"Helsinki Kumpula","2012","1","16","02:00","6"
"Helsinki Kumpula","2012","1","17","02:00","7"
"Helsinki Kumpula","2012","1","18","02:00","13"
"Helsinki Kumpula","2012","1","19","02:00","18"
"Helsinki Kumpula","2012","1","20","02:00","25"
"Helsinki Kumpula","2012","1","21","02:00","35"
"Helsinki Kumpula","2012","1","22","02:00","36"
"Helsinki Kumpula","2012","1","23","02:00","34"
"Helsinki Kumpula","2012","1","24","02:00","37"
"Helsinki Kumpula","2012","1","25","02:00","39"
"Helsinki Kumpula","2012","1","26","02:00","40"
"Helsinki Kumpula","2012","1","27","02:00","38"
"Helsinki Kumpula","2012","1","28","02:00","36"
"Helsinki Kumpula","2012","1","29","02:00","34"
"Helsinki Kumpula","2012","1","30","02:00","33"
"Helsinki Kumpula","2012","1","31","02:00","32"
"Helsinki Kumpula","2012","2","1","02:00","34"
"Helsinki Kumpula","2012","2","2","02:00","34"
"Helsinki Kumpula","2012","2","3","02:00","37"
"Helsinki Kumpula","2012","2","4","02:00","47"
"Helsinki Kumpula","2012","2","5","02:00","44"
"Helsinki Kumpula","2012","2","6","02:00","48"
"Helsinki Kumpula","2012","2","7","02:00","45"
"Helsinki Kumpula","2012","2","8","02:00","43"
"Helsinki Kumpula","2012","2","9","02:00","41"
"Helsinki Kumpula","2012","2","10","02:00","40"
"Helsinki Kumpula","2012","2","11","02:00","40"
"Helsinki Kumpula","2012","2","12","02:00","38"
"Helsinki Kumpula","2012","2","13","02:00","41"
"Helsinki Kumpula","2012","2","14","02:00","39"
"Helsinki Kumpula","2012","2","15","02:00","48"
"Helsinki Kumpula","2012","2","16","02:00","48"
"Helsinki Kumpula","2012","2","17","02:00","46"
"Helsinki Kumpula","2012","2","18","02:00","48"
"Helsinki Kumpula","2012","2","19","02:00","48"
"Helsinki Kumpula","2012","2","20","02:00","63"
"Helsinki Kumpula","2012","2","21","02:00","61"
"Helsinki Kumpula","2012","2","22","02:00","58"
"Helsinki Kumpula","2012","2","23","02:00","56"
"Helsinki Kumpula","2012","2","24","02:00","53"
"Helsinki Kumpula","2012","2","25","02:00","54"
"Helsinki Kumpula","2012","2","26","02:00","55"
"Helsinki Kumpula","2012","2","27","02:00","53"
"Helsinki Kumpula","2012","2","28","02:00","53"
"Helsinki Kumpula","2012","2","29","02:00","63"
"Helsinki Kumpula","2012","3","1","02:00","62"
"Helsinki Kumpula","2012","3","2","02:00","57"
"Helsinki Kumpula","2012","3","3","02:00","53"
"Helsinki Kumpula","2012","3","4","02:00","52"
"Helsinki Kumpula","2012","3","5","02:00","51"
"Helsinki Kumpula","2012","3","6","02:00","51"
"Helsinki Kumpula","2012","3","7","02:00","50"
"Helsinki Kumpula","2012","3","8","02:00","50"
"Helsinki Kumpula","2012","3","9","02:00","50"
"Helsinki Kumpula","2012","3","10","02:00","52"
"Helsinki Kumpula","2012","3","11","02:00","49"
"Helsinki Kumpula","2012","3","12","02:00","46"
"Helsinki Kumpula","2012","3","13","02:00","44"
"Helsinki Kumpula","2012","3","14","02:00","42"
"Helsinki Kumpula","2012","3","15","02:00","41"
"Helsinki Kumpula","2012","3","16","02:00","41"
"Helsinki Kumpula","2012","3","17","02:00","39"
"Helsinki Kumpula","2012","3","18","02:00","36"
"Helsinki Kumpula","2012","3","19","02:00","35"
"Helsinki Kumpula","2012","3","20","02:00","36"
"Helsinki Kumpula","2012","3","21","02:00","35"
"Helsinki Kumpula","2012","3","22","02:00","33"
"Helsinki Kumpula","2012","3","23","02:00","28"
"Helsinki Kumpula","2012","3","24","02:00","24"
"Helsinki Kumpula","2012","3","25","02:00","24"
"Helsinki Kumpula","2012","3","26","03:00","25"
"Helsinki Kumpula","2012","3","27","03:00","21"
"Helsinki Kumpula","2012","3","28","03:00","17"
"Helsinki Kumpula","2012","3","29","03:00","12"
"Helsinki Kumpula","2012","3","30","03:00","10"
"Helsinki Kumpula","2012","3","31","03:00","8"
"Helsinki Kumpula","2012","4","1","03:00","7"
"Helsinki Kumpula","2012","4","2","03:00","16"
"Helsinki Kumpula","2012","4","3","03:00","15"
"Helsinki Kumpula","2012","4","4","03:00","15"
"Helsinki Kumpula","2012","4","5","03:00","13"
"Helsinki Kumpula","2012","4","6","03:00","9"
"Helsinki Kumpula","2012","4","7","03:00","8"
"Helsinki Kumpula","2012","4","8","03:00","8"
"Helsinki Kumpula","2012","4","9","03:00","8"
"Helsinki Kumpula","2012","4","10","03:00","6"
"Helsinki Kumpula","2012","4","11","03:00","0"
"Helsinki Kumpula","2012","4","12","03:00","-1"
"Helsinki Kumpula","2012","4","13","03:00","-1"
"Helsinki Kumpula","2012","4","14","03:00","-1"
"Helsinki Kumpula","2012","4","15","03:00","-1"
"Helsinki Kumpula","2012","4","16","03:00","-1"
"Helsinki Kumpula","2012","4","17","03:00","-1"
"Helsinki Kumpula","2012","4","18","03:00","-1"
"Helsinki Kumpula","2012","4","19","03:00","-1"
"Helsinki Kumpula","2012","4","20","03:00","-1"
"Helsinki Kumpula","2012","4","21","03:00","-1"
"Helsinki Kumpula","2012","4","22","03:00","-1"
"Helsinki Kumpula","2012","4","23","03:00","-1"
"Helsinki Kumpula","2012","4","24","03:00","-1"
"Helsinki Kumpula","2012","4","25","03:00","-1"
"Helsinki Kumpula","2012","4","26","03:00","-1"
"Helsinki Kumpula","2012","4","27","03:00","-1"
"Helsinki Kumpula","2012","4","28","03:00","-1"
"Helsinki Kumpula","2012","4","29","03:00","-1"
"Helsinki Kumpula","2012","4","30","03:00","-1"
"Helsinki Kumpula","2012","5","1","03:00","-1"
"Helsinki Kumpula","2012","5","2","03:00","-1"
"Helsinki Kumpula","2012","5","3","03:00","-1"
"Helsinki Kumpula","2012","5","4","03:00","-1"
"Helsinki Kumpula","2012","5","5","03:00","-1"
"Helsinki Kumpula","2012","5","6","03:00","-1"
"Helsinki Kumpula","2012","5","7","03:00","-1"
"Helsinki Kumpula","2012","5","8","03:00","-1"
"Helsinki Kumpula","2012","5","9","03:00","-1"
"Helsinki Kumpula","2012","5","10","03:00","-1"
"Helsinki Kumpula","2012","5","11","03:00","-1"
"Helsinki Kumpula","2012","5","12","03:00","-1"
"Helsinki Kumpula","2012","5","13","03:00","-1"
"Helsinki Kumpula","2012","5","14","03:00","-1"
"Helsinki Kumpula","2012","5","15","03:00","-1"
"Helsinki Kumpula","2012","5","16","03:00","-1"
"Helsinki Kumpula","2012","5","17","03:00","-1"
"Helsinki Kumpula","2012","5","18","03:00","-1"
"Helsinki Kumpula","2012","5","19","03:00","-1"
"Helsinki Kumpula","2012","5","20","03:00","-1"
"Helsinki Kumpula","2012","5","21","03:00","-1"
"Helsinki Kumpula","2012","5","22","03:00","-1"
"Helsinki Kumpula","2012","5","23","03:00","-1"
"Helsinki Kumpula","2012","5","24","03:00","-1"
"Helsinki Kumpula","2012","5","25","03:00","-1"
"Helsinki Kumpula","2012","5","26","03:00","-1"
"Helsinki Kumpula","2012","5","27","03:00","-1"
"Helsinki Kumpula","2012","5","28","03:00","-1"
"Helsinki Kumpula","2012","5","29","03:00","-1"
"Helsinki Kumpula","2012","5","30","03:00","-1"
"Helsinki Kumpula","2012","5","31","03:00","-1"
"Helsinki Kumpula","2012","6","1","03:00","-1"
