NewIndex,Direct solar radiation mean [W/m2],Date
996,1.2,2014-12-07
997,1.9,2014-12-08
998,16.6,2014-12-09
999,0.7,2014-12-10
1000,0.8,2014-12-11
1001,1.4,2014-12-12
1002,2.4,2014-12-13
1003,1.3,2014-12-14
1004,0.5,2014-12-15
1005,64.5,2014-12-16
1006,36.1,2014-12-17
1007,2.0,2014-12-18
1008,2.4,2014-12-19
1009,3.1,2014-12-20
1010,13.2,2014-12-21
1011,2.2,2014-12-22
1012,2.0,2014-12-23
1013,0.5,2014-12-24
1014,89.6,2014-12-25
1015,18.0,2014-12-26
1016,18.7,2014-12-27
1017,0.3,2014-12-28
1018,80.3,2014-12-29
1019,2.0,2014-12-30
1020,2.9,2014-12-31
1021,0.9,2015-01-01
1022,4.0,2014-12-01
1023,0.7,2014-12-02
1024,51.5,2014-12-03
1025,20.5,2014-12-04
1026,1.3,2014-12-05
1027,2.3,2014-12-06
1028,1.2,2014-12-07
1029,1.9,2014-12-08
1030,16.6,2014-12-09
1031,0.7,2014-12-10
1032,0.8,2014-12-11
1033,1.4,2014-12-12
1034,2.4,2014-12-13
1035,1.3,2014-12-14
1036,0.5,2014-12-15
1037,64.5,2014-12-16
1038,36.1,2014-12-17
1039,2.0,2014-12-18
1040,2.4,2014-12-19
1041,3.1,2014-12-20
1042,13.2,2014-12-21
1043,2.2,2014-12-22
1044,2.0,2014-12-23
1045,0.5,2014-12-24
1046,89.6,2014-12-25
1047,18.0,2014-12-26
1048,18.7,2014-12-27
1049,0.3,2014-12-28
1050,80.3,2014-12-29
1051,2.0,2014-12-30
1052,2.9,2014-12-31
1053,0.9,2015-01-01
1054,1.2,2015-01-02
1055,0.9,2015-01-03
1056,0.6,2015-01-04
1057,70.5,2015-01-05
1058,114.8,2015-01-06
1059,2.6,2015-01-07
1060,1.6,2015-01-08
1061,1.6,2015-01-09
1062,1.0,2015-01-10
1063,0.9,2015-01-11
1064,19.0,2015-01-12
1065,3.7,2015-01-13
