NewIndex,Direct solar radiation mean [W/m2],Date
775,1.8,2022-12-18
776,1.8,2022-12-19
777,2.8,2022-12-20
778,0.5,2022-12-21
779,1,2022-12-22
780,1.6,2022-12-23
781,3.2,2022-12-24
782,-,2022-12-25
783,-,2022-12-26
784,0.1,2022-12-27
785,1,2022-12-28
786,0.5,2022-12-29
787,-0.1,2022-12-30
788,-0.2,2022-12-31
789,0.2,2023-01-01
790,61.9,2004-11-01
791,6.4,2004-11-02
792,49.2,2004-11-03
793,1.2,2004-11-04
794,1.0,2004-11-05
795,1.5,2004-11-06
796,1.4,2004-11-07
797,1.6,2004-11-08
798,1.5,2004-11-09
799,0.8,2004-11-10
800,0.6,2004-11-11
801,1.1,2004-11-12
802,61.9,2004-11-13
803,46.8,2004-11-14
804,1.0,2004-11-15
805,1.7,2004-11-16
806,34.9,2004-11-17
807,4.7,2004-11-18
808,2.6,2004-11-19
809,2.1,2004-11-20
810,4.0,2004-11-21
811,36.7,2004-11-22
812,29.2,2004-11-23
813,2.7,2004-11-24
814,3.8,2004-11-25
815,2.8,2004-11-26
816,20.8,2004-11-27
817,6.1,2004-11-28
818,18.2,2004-11-29
819,1.3,2004-11-30
820,2.0,2004-12-01
821,8.3,2004-12-02
822,4.1,2004-12-03
823,1.2,2004-12-04
824,1.8,2004-12-05
825,6.5,2004-12-06
826,2.1,2004-12-07
827,2.1,2004-12-08
828,3.7,2004-12-09
829,1.8,2004-12-10
830,1.6,2004-12-11
831,3.3,2004-12-12
832,3.3,2004-12-13
833,1.6,2004-12-14
834,0.7,2004-12-15
835,1.3,2004-12-16
836,1.3,2004-12-17
837,1.5,2004-12-18
838,2.3,2004-12-19
839,2.1,2004-12-20
840,2.6,2004-12-21
841,1.1,2004-12-22
842,1.5,2004-12-23
843,0.5,2004-12-24
844,1.0,2004-12-25
845,1.7,2004-12-26
846,2.9,2004-12-27
847,2.2,2004-12-28
848,1.3,2004-12-29
849,0.9,2004-12-30
850,0.9,2004-12-31
851,1.4,2005-01-01
852,0.7,2005-11-01
853,0.7,2005-11-02
854,77.3,2005-11-03
855,0.8,2005-11-04
856,20.9,2005-11-05
857,9.5,2005-11-06
858,1.5,2005-11-07
859,1.3,2005-11-08
860,1.4,2005-11-09
861,66.7,2005-11-10
862,1.5,2005-11-11
863,1.4,2005-11-12
864,1.1,2005-11-13
865,1.5,2005-11-14
866,1.1,2005-11-15
867,32.9,2005-11-16
868,2.7,2005-11-17
869,1.8,2005-11-18
870,2.2,2005-11-19
871,16.0,2005-11-20
872,24.7,2005-11-21
873,1.5,2005-11-22
874,0.9,2005-11-23
875,1.1,2005-11-24
876,0.8,2005-11-25
877,1.7,2005-11-26
878,4.3,2005-11-27
879,1.8,2005-11-28
880,1.3,2005-11-29
881,1.6,2005-11-30
882,2.1,2005-12-01
883,2.0,2005-12-02
884,2.0,2005-12-03
885,2.3,2005-12-04
886,1.5,2005-12-05
887,1.9,2005-12-06
888,4.5,2005-12-07
889,4.3,2005-12-08
890,1.8,2005-12-09
891,1.4,2005-12-10
892,2.8,2005-12-11
893,1.1,2005-12-12
894,1.4,2005-12-13
895,3.3,2005-12-14
896,2.4,2005-12-15
897,2.1,2005-12-16
898,1.6,2005-12-17
899,1.6,2005-12-18
900,2.1,2005-12-19
901,2.7,2005-12-20
902,4.4,2005-12-21
903,5.6,2005-12-22
904,3.2,2005-12-23
905,1.1,2005-12-24
906,1.2,2005-12-25
907,2.9,2005-12-26
908,2.5,2005-12-27
909,1.9,2005-12-28
910,2.9,2005-12-29
911,2.9,2005-12-30
912,1.5,2005-12-31
913,2.1,2006-01-01
914,90.2,2006-11-01
915,69.9,2006-11-02
916,62.9,2006-11-03
917,62.8,2006-11-04
918,15.8,2006-11-05
919,2.3,2006-11-06
920,2.4,2006-11-07
921,3.3,2006-11-08
922,2.6,2006-11-09
923,6.9,2006-11-10
924,2.3,2006-11-11
925,1.7,2006-11-12
926,1.6,2006-11-13
927,1.6,2006-11-14
928,1.4,2006-11-15
929,1.4,2006-11-16
930,1.1,2006-11-17
931,1.6,2006-11-18
932,1.3,2006-11-19
933,2.0,2006-11-20
934,1.2,2006-11-21
935,1.2,2006-11-22
936,1.1,2006-11-23
937,1.4,2006-11-24
